,total,rwnd-limited-count,%-rwnd-limited
,,,
bbr-baseline,NA,NA,NA
bbr-0.128,1778,1778,100
bbr-128.128,2254,2254,100
bbr-256.128,2337,2299,98.37
bbr-384.128,2343,0,0
bbr-512.128,2416,0,0
,,,
,,,
cubic-baseline,NA,NA,NA
cubic-0.128,1475,1475,100
cubic-128.128,2206,2206,100
cubic-256.128,2131,2131,100
cubic-384.128,2121,2121,100
cubic-512.128,2167,2167,100
,,,
,,,
yeah-baseline,NA,NA,NA
yeah-0.128,1915,1915,100
yeah-128.128,2239,2239,100
yeah-256.128,2249,2249,100
yeah-384.128,2130,2130,100
yeah-512.128,2289,0,0
,,,
,,,
reno-baseline,NA,NA,NA
reno-0.128,1548,1548,100
reno-128.128,2245,2245,100
reno-256.128,2651,2651,100
reno-384.128,2205,2205,100
reno-512.128,2327,2327,100
,,,
,,,
htcp-baseline,NA,NA,NA
htcp-0.128,2103,2103,100
htcp-128.128,2131,2131,100
htcp-256.128,2355,2355,100
htcp-384.128,2390,2390,100
htcp-512.128,2144,2144,100
